NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Unit ID for institution,root,id,integer,UNITID,,,IPEDS,
8-digit OPE ID for institution,root,ope8_id,integer,OPEID,,,IPEDS,
6-digit OPE ID for institution,root,ope6_id,integer,opeid6,,,IPEDS,
Institution name,school,name,autocomplete,INSTNM,,,IPEDS,
City,school,city,autocomplete,CITY,,,IPEDS,
State postcode,school,state,string,STABBR,,,IPEDS,
URL for institution's homepage,school,school_url,string,INSTURL,,,IPEDS,
URL for institution's net price calculator,school,price_calculator_url,string,NPCURL,,,IPEDS,
"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",school,degrees_awarded.predominant,integer,PREDDEG,0,Not classified,IPEDS,
,school,,,,1,Predominantly certificate-degree granting,,
,school,,,,2,Predominantly associate's-degree granting,,
,school,,,,3,Predominantly bachelor's-degree granting,,
,school,,,,4,Entirely graduate-degree granting,,
Control of institution,school,ownership,integer,CONTROL,1,Public,IPEDS,
,school,,,,2,Private nonprofit,,
,school,,,,3,Private for-profit,,
Locale of institution,school,locale,integer,LOCALE,11,"City: Large (population of 250,000 or more)",IPEDS,
,school,,,,12,"City: Midsize (population of at least 100,000 but less than 250,000)",,
,school,,,,13,"City: Small (population less than 100,000)",,
,school,,,,21,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)",,
,school,,,,22,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)",,
,school,,,,23,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)",,
,school,,,,31,Town: Fringe (in urban cluster up to 10 miles from an urbanized area),,
,school,,,,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area),,
,school,,,,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area),,
,school,,,,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster),,
,school,,,,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster),,
,school,,,,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster),,
Flag for Historically Black College and University,school,minority_serving.historically_black,integer,HBCU,0,No,OPE,
,,,,,1,Yes,,
Flag for predominantly black institution,school,minority_serving.predominantly_black,integer,PBI,0,No,OPE,
,,,,,1,Yes,,
Flag for Alaska Native Native Hawaiian serving institution,school,minority_serving.annh,integer,ANNHI,0,No,OPE,
,,,,,1,Yes,,
Flag for tribal college and university,school,minority_serving.tribal,integer,TRIBAL,0,No,OPE,
,,,,,1,Yes,,
Flag for Asian American Native American Pacific Islander-serving institution,school,minority_serving.aanipi,integer,AANAPII,0,No,OPE,
,,,,,1,Yes,,
Flag for Hispanic-serving institution,school,minority_serving.hispanic,integer,HSI,0,No,OPE,
,,,,,1,Yes,,
Flag for Native American non-tribal institution,school,minority_serving.nant,integer,NANTI,0,No,OPE,
,,,,,1,Yes,,
Flag for men-only college,school,men_only,integer,MENONLY,0,No,IPEDS,
,,,,,1,Yes,,
Flag for women-only college,school,women_only,integer,WOMENONLY,0,No,IPEDS,
,,,,,1,Yes,,
Religous affiliation of the institution,school,religious_affiliation,integer,RELAFFIL,-1,Not reported,IPEDS,
,,,,,-2,Not applicable,,
,,,,,22,American Evangelical Lutheran Church,,
,,,,,24,African Methodist Episcopal Zion Church,,
,,,,,27,Assemblies of God Church,,
,,,,,28,Brethren Church,,
